medida500_l,medida500_m,grade
641.102,699.033,6to
640.067,580.481,6to
505.018,503.659,6to
644.023,553.509,6to
612.802,704.328,6to
560.706,625.176,6to
611.524,664.717,6to
500.089,617.48,6to
621.931,702.704,6to
574.034,650.383,6to
570.139,603.288,6to
575.799,511.92,6to
611.524,638.451,6to
474.588,455.787,6to
668.793,549.413,6to
690.581,650.383,6to
606.838,852.465,6to
433.569,419.988,6to
357.067,400.077,6to
529.058,516.863,6to
356.702,316.829,6to
480.188,459.882,6to
496.802,437.711,6to
512.93,487.702,6to
451.644,503.659,6to
383.42,454.092,6to
434.908,459.882,6to
480.188,459.882,6to
410.563,376.211,6to
433.569,455.01,6to
611.524,531.973,6to
241.439,419.848,6to
502.462,464.966,6to
410.989,412.927,6to
460.469,499.564,6to
604.16,602.723,6to
451.583,320.995,6to
424.257,380.8,6to
514.452,562.758,6to
325.724,380.094,6to
506.723,582.246,6to
469.963,531.973,6to
554.498,399.017,6to
668.793,534.021,6to
542.934,501.47,6to
536.909,569.325,6to
506.723,528.796,6to
524.007,563.041,6to
554.498,580.481,6to
668.793,599.687,6to
304.208,321.719,6to
560.706,625.176,6to
524.007,597.215,6to
611.037,755.378,6to
491.386,619.245,6to
570.139,507.684,6to
538.309,570.737,6to
554.498,755.378,6to
478.057,581.893,6to
614.81,582.599,6to
552.794,538.116,6to
575.799,742.174,6to
687.964,842.226,6to
381.533,472.027,6to
551.029,599.687,6to
557.784,624.046,6to
612.802,622.422,6to
506.723,563.606,6to
510.252,563.041,6to
640.067,639.58,6to
536.909,538.116,6to
633.616,742.174,6to
447.932,399.512,6to
534.414,641.416,6to
529.058,436.934,6to
450.244,492.221,6to
436.246,511.92,6to
570.139,516.863,6to
447.932,455.787,6to
592.414,549.413,6to
472.337,575.044,6to
438.498,392.168,6to
551.637,778.255,6to
447.384,417.093,6to
515.852,783.551,6to
632.947,767.24,6to
346.599,363.784,6to
415.98,434.604,6to
532.588,575.044,6to
515.608,533.526,6to
533.136,633.79,6to
477.145,532.326,6to
507.453,553.509,6to
436.246,441.241,6to
589.006,753.472,6to
611.037,598.133,6to
592.414,549.413,6to
557.784,739.421,6to
479.153,569.325,6to
592.353,742.174,6to
496.802,486.572,6to
500.089,598.133,6to
621.931,667.965,6to
644.023,739.421,6to
570.139,758.485,6to
560.706,652.149,6to
641.102,753.472,6to
762.518,598.133,6to
592.414,667.965,6to
477.145,532.326,6to
552.794,644.24,6to
461.503,438.558,6to
552.794,553.509,6to
419.084,375.222,6to
510.252,531.973,6to
526.076,517.993,6to
551.029,534.021,6to
490.047,582.599,6to
464.912,352.486,6to
592.353,625.176,6to
611.524,597.215,6to
447.932,502.953,6to
491.386,565.3,6to
551.637,694.019,6to
476.84,492.927,6to
725.758,778.255,6to
500.271,590.437,6to
727.889,783.551,6to
757.284,767.24,6to
533.136,571.514,6to
531.675,536.139,6to
551.637,530.773,6to
394.009,512.344,6to
529.606,771.4059999999998,6to
458.886,511.567,6to
561.253,677.426,6to
551.637,571.514,6to
741.034,626.094,6to
597.465,558.098,6to
680.357,767.24,6to
551.637,633.79,6to
574.399,602.723,6to
632.947,767.24,6to
462.477,412.927,6to
486.7,464.824,6to
727.889,694.019,6to
529.606,457.481,6to
551.637,571.514,6to
529.606,626.094,6to
727.889,694.019,6to
580.181,677.426,6to
516.947,571.514,6to
546.221,771.4059999999998,6to
574.399,511.567,6to
580.181,457.481,6to
474.588,376.211,6to
668.793,619.245,6to
766.839,739.421,6to
434.908,380.094,6to
506.723,511.92,6to
496.802,486.572,6to
500.089,502.953,6to
515.791,436.934,6to
589.614,569.325,6to
493.577,441.241,6to
372.526,470.967,6to
433.569,455.787,6to
519.26,439.052,6to
477.145,436.934,6to
356.702,403.254,6to
519.808,528.796,6to
538.309,470.967,6to
512.93,548.284,6to
438.194,456.281,6to
466.372,441.241,6to
538.309,470.967,6to
418.11,438.558,6to
621.931,634.638,6to
490.047,624.046,6to
533.014,602.44,6to
441.846,486.572,6to
570.626,487.702,6to
534.414,581.893,6to
529.058,582.599,6to
521.877,569.325,6to
480.188,545.954,6to
469.963,470.967,6to
554.498,617.48,6to
478.057,456.281,6to
542.934,624.046,6to
464.912,459.882,6to
506.723,582.246,6to
373.743,369.786,6to
418.293,238.948,6to
451.583,424.507,6to
396.931,412.927,6to
405.999,401.559,6to
486.091,410.95,6to
424.805,375.717,6to
365.405,380.8,6to
388.532,322.76,6to
324.081,412.927,6to
373.743,369.786,6to
375.63,298.895,6to
365.405,345.637,6to
432.108,342.672,6to
476.84,440.747,6to
396.931,380.8,6to
420.423,481.77,6to
371.735,360.889,6to
410.137,358.7,6to
437.159,380.8,6to
466.494,493.209,6to
365.405,380.8,6to
