"from","to","weight"
"p18_02","p20_07",0.0390528621793172
"p18_08","p20_02",0.0384693431430478
"p19_01","p19_03",0.0384114745435068
"p11_06","p12_06",0.0383617074611947
"p08_12","p11_06",0.0382967595649596
"p08_02","p11_03",0.0382686620008746
"p05_02","p11_11",0.0381574365819017
"p18_09","p20_06",0.0378794815129851
"p13_09","p13_14",0.0376659545108282
"p13_13","p17_05",0.0375119531064395
"p21_03","p22_05",0.0374763434146527
"p21_02","p21_06",0.0374441282615951
"p18_05","p20_02",0.0368438644836446
"p11_01","p11_08",0.0365721395999178
"p18_06","p20_09",0.0365233674007701
"p18_09","p20_04",0.0363691867180274
"p11_01","p11_11",0.0360463777943413
"p11_01","p11_06",0.0354432577905302
"p18_02","p20_01",0.0346814645946375
"p08_02","p08_04",0.0346772375297466
"p13_04","p13_11",0.0345819895547794
"p21_02","p22_03",0.0342712979308667
"p18_02","p18_08",0.0340508055706708
"p08_01","p11_11",0.0335880017940749
"p18_05","p20_04",0.0335135075406834
"p18_06","p18_08",0.033458276532371
"p13_05","p16_03",0.0334577847877365
"p18_03","p20_06",0.0333088116999464
"p16_03","p17_04",0.0332085238038587
"p19_05","p19_08",0.0330758368289597
"p16_04","p17_06",0.0330428811746154
"p13_12","p17_03",0.0325909752206585
"p18_02","p18_06",0.0324409366880865
"p18_03","p20_07",0.0323723070530866
"p13_05","p13_10",0.0323572995424461
"p18_09","p20_03",0.0323148267066711
"p18_02","p18_09",0.0322863793376169
"p05_02","p11_03",0.0320339377082837
"p18_09","p20_07",0.0318432375680051
"p13_06","p13_11",0.0315327952807342
"p15_01","p15_06",0.0315097557434922
"p08_08","p11_06",0.0309956377129394
"p10_01","p18_01",0.03084834101219
"p13_04","p13_14",0.0307095756689779
"p11_02","p11_07",0.0303580939171908
"p13_02","p13_09",0.0302335012419842
"p16_05","p17_01",0.0299072256842792
"p13_01","p13_12",0.0298608419128649
"p19_02","p19_05",0.0294937945235661
"p13_04","p13_05",0.0293412591278107
"p17_06","p19_02",0.0286144191856541
"p16_04","p17_02",0.0285194873621058
"p11_11","p19_09",0.0284355061801478
"p19_04","p19_06",0.028156622354904
"p11_01","p11_09",0.0277527220267663
"p11_11","p13_12",0.0272613514111416
"p18_07","p20_08",0.0267028755225736
"p19_02","p19_09",0.0266667541399972
"p16_04","p17_01",0.0266372607123126
"p17_03","p18_03",0.026328989863175
"p11_07","p12_02",0.0261940123969484
"p13_03","p13_09",0.0261038471558533
"p11_06","p17_03",0.0260941979816599
"p18_01","p20_06",0.0260196666476237
"p18_06","p18_09",0.0258662943135956
"p18_06","p19_02",0.0257104212229498
"p13_11","p13_14",0.0256773122107682
"p11_04","p11_09",0.0254985920705102
"p10_02","p10_03",0.0254863602262362
"p13_13","p19_09",0.0252857017259429
"p18_01","p19_01",0.02508384660218
"p13_13","p18_06",0.0249151259782929
"p13_11","p18_03",0.0248662790141925
"p15_03","p15_06",0.0244433036567762
"p11_07","p13_01",0.0244362257357677
"p13_03","p13_07",0.0242558816792137
"p18_08","p19_02",0.0241381677813012
"p18_07","p20_04",0.0238877453760739
"p13_12","p17_05",0.0238360738531428
"p11_11","p12_03",0.0237965942576099
"p13_12","p17_04",0.0237894667950529
"p18_08","p20_03",0.0235069437824835
"p18_04","p20_04",0.0233552335052117
"p15_02","p15_06",0.0230178132427375
"p08_07","p11_07",0.0226921962236262
"p18_07","p20_03",0.0226897043393072
"p11_07","p13_11",0.0224312898531298
"p17_03","p18_02",0.0224129127816206
"p10_02","p18_03",0.0223523583384151
"p05_02","p11_07",0.0221242334178952
"p11_02","p11_08",0.0220698310568718
"p08_01","p11_06",0.0214254202207776
"p08_02","p11_08",0.021308466135669
"p13_07","p13_13",0.0211694320451244
"p08_12","p11_11",0.0210992127931425
"p18_02","p19_06",0.0205115936088903
"p10_06","p16_01",0.0204063305066047
"p11_05","p11_07",0.020403927916472
"p15_03","p16_04",0.0202613212260684
"p13_03","p13_08",0.0202436055367226
"p08_01","p11_10",0.0202026105488501
"p11_01","p11_04",0.0199135199525998
"p10_06","p16_05",0.0199040724343302
"p13_05","p13_09",0.0198990431260098
"p18_08","p20_09",0.019866942517424
"p08_11","p11_09",0.0195797230551837
"p18_08","p20_06",0.0195440951543679
"p18_05","p20_05",0.0194383787031143
"p18_01","p20_01",0.019362738785191
"p18_02","p20_03",0.0193258755745717
"p11_10","p12_02",0.0192785522868588
"p13_10","p13_14",0.0192396221223607
"p13_01","p13_11",0.0191739099923038
"p16_04","p17_04",0.0189007351628832
"p11_03","p13_11",0.0188945062108143
"p18_05","p20_07",0.0182494248988902
"p21_06","p22_02",0.0181173029118458
"p16_05","p17_02",0.0180747021348638
"p18_03","p18_09",0.0180112123794829
"p10_03","p16_01",0.0179236033440849
"p13_05","p13_07",0.0178959139964209
"p05_02","p11_08",0.0176120015432038
"p11_07","p11_09",0.0172648623321717
"p11_09","p13_11",0.0172392028510255
"p10_01","p17_03",0.0171613029315621
"p11_11","p12_06",0.0171226022664908
"p10_02","p18_02",0.0168916000207961
"p21_02","p22_05",0.0168696560621111
"p05_02","p19_09",0.016768097138244
"p08_01","p11_03",0.0167513655942938
"p15_03","p15_07",0.0167249434705861
"p18_08","p20_08",0.0166070490859393
"p18_04","p20_03",0.0165934596895923
"p17_03","p18_05",0.016574754958451
"p13_03","p17_01",0.0165548459540854
"p13_14","p16_04",0.016502568078906
"p13_02","p13_12",0.0163433110312245
"p11_06","p13_01",0.0161892499772367
"p13_03","p13_10",0.0160520198514835
"p15_04","p15_06",0.0159359539178131
"p10_04","p18_06",0.0157746746071329
"p11_07","p13_12",0.015771283327135
"p13_03","p13_06",0.0156254061781356
"p13_01","p13_09",0.0155729932123677
"p18_03","p20_03",0.0155681136319132
"p18_06","p19_07",0.0154318241550529
"p13_08","p13_12",0.0153989269877164
"p18_03","p20_09",0.0153353906979308
"p18_01","p20_05",0.0152085478965321
"p11_03","p13_13",0.0151403839966727
"p18_02","p20_02",0.0150210064361751
"p13_10","p17_02",0.01479339120974
"p08_11","p11_11",0.0146753487179968
"p11_06","p19_09",0.0146441234323301
"p05_01","p13_01",0.0146396490912001
"p11_09","p18_02",0.014487968446096
"p16_03","p17_03",0.0142806123890414
"p21_04","p22_03",0.0142783863893867
"p11_11","p13_01",0.0139741689596489
"p13_11","p18_05",0.0138160583845679
"p11_01","p13_11",0.0137387324029083
"p18_03","p20_08",0.0136839918169001
"p08_06","p08_07",0.0136737995866471
"p11_06","p12_05",0.0136608421999064
"p18_07","p20_07",0.0136158259842102
"p08_04","p11_11",0.0134908966015014
"p13_06","p13_09",0.0134725291105447
"p12_01","p12_04",0.0134108489259661
"p16_02","p17_06",0.0130657803807821
"p12_04","p12_06",0.0130524175530685
"p11_03","p11_05",0.0130416156539674
"p11_06","p13_11",0.0130190490736503
"p08_11","p11_03",0.0128989121558735
"p13_07","p13_10",0.0128890370232983
"p01","p13_04",0.0128472198989077
"p11_08","p13_11",0.012721841566363
"p13_09","p17_02",0.0125732506065935
"p17_04","p18_05",0.012558740045038
"p05_02","p13_12",0.0123938560819914
"p18_05","p20_09",0.0123055660965146
"p11_11","p16_02",0.012160096502635
"p11_10","p18_05",0.0121418814657571
"p08_07","p11_03",0.0121393326101359
"p18_06","p19_09",0.0121379083996093
"p21_07","p22_04",0.0120367521387773
"p10_05","p18_02",0.0119547659935294
"p13_08","p13_14",0.0118361205715011
"p05_02","p16_06",0.0116730633991972
"p10_05","p10_06",0.0114959358684041
"p16_01","p16_06",0.0114255159727186
"p18_02","p20_05",0.0113092044946403
"p16_01","p18_06",0.0112674166038258
"p13_02","p13_07",0.0111981800655493
"p11_06","p18_05",0.0111848971338958
"p11_08","p12_05",0.0111322912734233
"p10_05","p18_03",0.0110372837627305
"p16_01","p19_01",0.0110205656564651
"p11_06","p13_10",0.0109459528124171
"p16_05","p17_06",0.0108910948259729
"p10_06","p16_04",0.0108674674008867
"p13_12","p19_09",0.0107332285628148
"p08_04","p11_07",0.0106748143738138
"p18_06","p20_05",0.0105184972493319
"p13_05","p16_05",0.0100937746726031
"p05_02","p11_09",0.0100208158264671
"p10_02","p18_01",0.00994768277131839
"p18_02","p20_06",0.00994733740305811
"p16_02","p17_03",0.00989349323397546
"p05_02","p11_02",0.00987044771996472
"p13_13","p17_03",0.00961795476807599
"p11_01","p13_01",0.00953304993339685
"p18_08","p20_05",0.00948249031228185
"p11_07","p19_09",0.00922904555036821
"p13_11","p17_04",0.00896134626022544
"p11_02","p11_09",0.00879813495950552
"p10_06","p11_06",0.0087549308942418
"p18_03","p20_04",0.00849231694352957
"p11_11","p17_03",0.00814843496905574
"p13_03","p13_14",0.0081464059121008
"p18_05","p20_01",0.00786227920418048
"p17_03","p18_06",0.00776851833864777
"p11_07","p11_11",0.00769700841519714
"p08_08","p08_11",0.0076671046976863
"p13_06","p16_05",0.00763929099909291
"p18_04","p18_06",0.00761908729813125
"p11_09","p18_03",0.00758190366797995
"p16_03","p17_06",0.00755131075224531
"p18_07","p20_01",0.00754880090758215
"p18_03","p19_01",0.00746834856217052
"p11_10","p19_09",0.00741434707393825
"p16_05","p17_03",0.0072446751875833
"p08_07","p11_11",0.00702225257346574
"p08_11","p11_10",0.00698214629378589
"p13_10","p13_12",0.00690072386802578
"p05_02","p11_01",0.00678167941683428
"p13_05","p17_01",0.00676623448743543
"p11_07","p19_06",0.00651539206245377
"p15_01","p15_07",0.00649534618144802
"p16_04","p17_03",0.00647716998204928
"p13_11","p17_03",0.00641287833883937
"p18_06","p19_01",0.00636807251765538
"p16_04","p19_01",0.00627134444565565
"p15_05","p16_04",0.00621445768619849
"p11_03","p12_03",0.00620233464538926
"p11_10","p18_01",0.00616939157573685
"p11_08","p12_06",0.00615474907651781
"p16_03","p17_02",0.00615436448739254
"p10_06","p13_14",0.00599898624998718
"p10_03","p13_14",0.00595630340006183
"p10_06","p11_07",0.0059097763471592
"p10_03","p16_02",0.00590235234906762
"p18_06","p19_08",0.00586909133126866
"p17_05","p19_09",0.00585188280197666
"p13_10","p16_06",0.0057441197910396
"p11_11","p18_05",0.00530089851215801
"p13_13","p19_06",0.00529780898480729
"p11_06","p13_02",0.00529661456223419
"p11_06","p12_03",0.00526787096402491
"p18_06","p19_06",0.0052473068488047
"p08_09","p11_06",0.00523498542446671
"p11_09","p12_06",0.00519443697478316
"p18_08","p19_01",0.00515032284576119
"p13_05","p16_04",0.00500934449563072
"p13_10","p16_03",0.00488019788354997
"p13_12","p17_06",0.00487240348352469
"p13_01","p13_05",0.00486746911056625
"p11_11","p18_01",0.00474254288596943
"p18_05","p20_03",0.00468009192384957
"p13_10","p16_05",0.00464365128021441
"p05_02","p11_10",0.00460407462930831
"p17_02","p17_06",0.00431501313260532
"p10_06","p11_11",0.00427130685817319
"p13_12","p18_03",0.00426869656908228
"p13_05","p15_05",0.00419227239990056
"p15_03","p15_04",0.00402606564580717
"p11_02","p16_01",0.00392551954672633
"p18_07","p19_06",0.00382619194878346
"p18_05","p20_08",0.00380186375017767
"p15_02","p15_07",0.003658407690763
"p11_10","p12_05",0.00358503653735768
"p17_04","p19_06",0.00353631047741611
"p11_08","p12_03",0.00351718274337999
"p17_05","p18_02",0.00340875755974885
"p12_02","p12_04",0.00336966135830833
"p18_04","p20_07",0.00326343950879427
"p18_07","p20_06",0.0031773051448215
"p18_03","p19_02",0.00317096640661693
"p18_08","p20_07",0.00303233477749175
"p05_02","p13_13",0.00299165711947569
"p10_03","p16_03",0.00298115055153482
"p11_11","p16_06",0.00297893600172696
"p13_03","p16_03",0.00296106386852299
"p11_10","p17_03",0.00293680727324865
"p18_02","p20_04",0.0029101616427878
"p10_04","p18_03",0.0027396394103872
"p08_09","p11_10",0.00271807309242267
"p18_01","p19_05",0.0027062209853363
"p11_07","p18_03",0.00267617473608447
"p18_02","p19_09",0.00266811341882097
"p13_14","p16_01",0.00264975245633361
"p13_01","p17_04",0.00254715306812262
"p11_03","p13_01",0.00254467994388673
"p18_07","p20_09",0.00253481731533433
"p11_11","p16_04",0.00243082025684985
"p05_02","p13_01",0.00242690647609404
"p13_01","p13_10",0.00234663724777173
"p11_11","p13_11",0.00220920945059861
"p13_05","p17_03",0.00211836783068471
"p13_02","p13_05",0.00209584007979852
