"from","to","weight"
"p22_03","M",0.00156079669782019
"p11_07","L",0.00153862339784591
"p17_01","L",0.00153821627985862
"p19_03","M",0.00153173737243918
"p10_02","M",0.0015074234778439
"p02","M",0.00148239732184892
"p20_07","L",0.00147567921476835
"p12_03","M",0.00145026031818284
"p09","L",0.00143196580838577
"p13_07","M",0.00140548697556151
"p14_10","L",0.00140351336624599
"p06_03","M",0.0013475695759602
"p21_07","M",0.0013075426664011
"p12_06","M",0.00130381548687382
"p15_05","L",0.00129944274018129
"p06_05","L",0.00128257817077697
"p19_01","M",0.00126332969360691
"p15_09","L",0.0012587329524269
"p03_01","L",0.00125400341763399
"p08_05","M",0.0012473139196175
"p15_04","L",0.00124448033190643
"p13_06","L",0.00123974402795248
"p21_02","M",0.00121334541746799
"p22_01","L",0.00118753420855807
"p05_01","L",0.00117830384991044
"p15_02","M",0.0011645658714424
"p19_02","M",0.00114427670622518
"p13_04","M",0.0011383498767027
"p11_11","L",0.00113727698338904
"p06_04","L",0.00113565203125426
"p11_09","M",0.00113409553874978
"p06_03","L",0.00113366211575408
"p12_06","L",0.00111368027018563
"p13_12","L",0.00111180707412445
"p14_04","M",0.00108858434002586
"p17_05","M",0.00108783822292883
"p06_01","M",0.00107601967646597
"p22_02","L",0.00104935486605979
"p18_08","M",0.00104834290150625
"p21_01","L",0.00104436794275179
"p10_01","L",0.000980707342739275
"p19_06","L",0.000971056716349134
"p06_02","M",0.000966938158214338
"p19_06","M",0.000965066174141768
"p13_06","M",0.000947180624796593
"p14_07","L",0.000928626566743087
"p16_04","L",0.000916342557831842
"p13_09","L",0.000903609657791076
"p14_11","L",0.000902901859824889
"p22_04","M",0.000897105270966992
"p19_09","M",0.000888709078887504
"p12_03","L",0.00085846146547788
"p08_03","M",0.000857089383905534
"p11_11","M",0.000849965160528846
"p05_01","M",0.000846401538878224
"p11_02","L",0.000842799579299709
"p12_04","L",0.000841122165626951
"p21_02","L",0.000840202750467157
"p11_05","M",0.00083302646276407
"p18_02","M",0.000794691074361232
"p15_04","M",0.000791621294602703
"p06_04","M",0.000791245329214189
"p18_02","L",0.00077417498764968
"p14_03","M",0.000769944819400782
"p10_03","L",0.000761076063009277
"p11_03","M",0.000758963849604156
"p15_07","M",0.00071765413978518
"p08_07","L",0.000690159368656097
"p10_06","M",0.000683589151890455
"p21_05","M",0.000677129653094182
"p21_06","L",0.00066892647489521
"p22_02","M",0.000654022478408338
"p08_01","M",0.000650556200049956
"p13_05","M",0.000649260244954709
"p20_09","M",0.000646378337909113
"p11_10","M",0.000642244233366926
"p13_04","L",0.000598662001668597
"p08_05","L",0.000594663903959296
"p10_06","L",0.00058681845605416
"p20_08","M",0.000585534843261813
"p13_03","L",0.000573458586679562
"p18_04","L",0.000571572094753813
"p13_14","L",0.000554096432373288
"p12_02","M",0.000548686642120904
"p13_02","M",0.000544077846516635
"p16_03","M",0.000541219179946928
"p15_09","M",0.000538104008883129
"p18_05","L",0.000530786965208274
"p20_02","L",0.000527455741719403
"p16_05","M",0.000519385354588007
"p17_06","M",0.000513351176276249
"p21_03","L",0.000487301010696163
"p18_09","L",0.000463646173402171
"p18_06","M",0.000449538996541261
"p19_07","L",0.00044841305317275
"p08_06","M",0.000446971205480406
"p21_05","L",0.000437841284604084
"p16_04","M",0.000428894270702657
"p12_01","L",0.000425690470587123
"p08_10","L",0.000417777816038665
"p14_10","M",0.000412932388031073
"p03_03","M",0.000389258150603703
"p20_03","L",0.00038606159389835
"p16_01","M",0.000373187263433399
"p11_02","M",0.000359116687877665
"p20_09","L",0.000357684443203659
"p13_12","M",0.000347266074790756
"p14_05","M",0.000338103221458537
"p20_05","L",0.000331128249921202
"p15_08","L",0.000317152103292659
"p22_05","L",0.000307351441108399
"p08_04","M",0.000293760088765755
"p19_08","M",0.000289216713060485
"p15_06","M",0.000284214399488386
"p20_06","M",0.000270569687471494
"p20_08","L",0.000266786675441541
"p19_05","L",0.00026627840305014
"p12_05","M",0.000261485126628905
"p11_07","M",0.000256738686129363
"p22_05","M",0.000252216853798911
"p08_10","M",0.000251863703364732
"p21_01","M",0.000247119032006267
"p15_03","M",0.000239014468597082
"p20_04","L",0.000225899053608063
"p13_10","M",0.000225168176075856
"p20_04","M",0.00020679971790689
"p17_04","L",0.000206656493646285
"p18_03","M",0.000199340695747476
"p16_03","L",0.000179151260254896
"p20_02","M",0.000172546795427591
"p18_07","M",0.000154340677680018
"p13_08","M",0.000153955462322319
"p19_08","L",0.000147502263341223
"p17_01","M",0.000147166406027716
"p21_04","M",0.000125312773056202
"p16_02","M",0.000119040037745146
"p18_04","M",0.000101989757175276
"p13_05","L",9.70077766723668e-05
"p10_03","M",8.73481947888765e-05
"p19_04","L",7.99736280188249e-05
"p22_03","L",7.88004082917456e-05
"p08_08","M",4.60286232193498e-05
"p22_01","M",4.42328011145382e-05
"p16_01","L",4.10971454910762e-05
"p16_05","L",3.64279720976302e-05
"p17_02","M",2.93256924537711e-05
"p18_03","L",2.33940579369086e-05
"p20_01","L",2.00113733374784e-05
"p19_05","M",1.01193462598147e-05
